"","DUR_12","DUR_24","DUR_36","DUR_48","DUR_60","DUR_72","DUR_84","DUR_96","DUR_108","DUR_120","DUR_132","DUR_144","DUR_156","DUR_168","DUR_180","DUR_192","DUR_204","DUR_216","DUR_228","DUR_240","DUR_252","DUR_264","DUR_276","DUR_288","DUR_300","DUR_312","DUR_324","DUR_336","DUR_348","DUR_360"
"AEG1",78262.3975283399,82058.5445567867,86118.2739594522,89374.1546331171,90002.7090791437,86511.6135767815,78707.7882379182,69680.2920901607,63715.5987391639,61232.6985751417,58970.646516224,57021.990201125,58167.0873309473,NA,63171.5828844789,67823.8622551712,67509.4440046061,62729.4167244726,58970.0776985376,59884.2301295935,64288.6319267066,68741.366457204,73173.0907068678,80000.6387421842,90860.2797748046,102283.305664007,107085.674857336,104897.982604899,100935.470812704,98490.4027390388
"AEG10",74750.0470246169,80295.84248609,85704.7276585596,89313.130499872,89636.3318385051,86447.5796236718,81907.8228761829,77469.2025572926,72201.3463508231,65798.6088883276,58790.5206026143,53052.2844757536,50858.402615427,NA,51190.0404763001,53460.5238042537,58076.0382110981,63941.1932812306,69098.7522770972,72887.9708794368,75016.5213457144,75788.7057925216,77269.3071447587,80300.9283358853,83937.2196913677,86105.5209481431,86809.623103656,86662.1153721026,85626.8842103525,84068.8305603736
"AEG11",71978.1635267207,74179.9050691935,78064.9492779525,82049.8652970625,84213.2806301847,83319.0549018583,78736.5353123378,70238.0026760409,60735.3503082748,53270.8479981119,48817.1078817641,46450.7537901794,45679.2732083171,NA,46181.4864431822,47470.3818375839,49394.9509909449,51747.0277752161,54199.7084197067,55362.3651911424,55563.9961529362,55358.5665373928,56498.8460651026,59581.9742922627,65809.2371864769,71577.7184143819,72168.0873222676,68249.0134764581,65099.4361537956,65137.4159291586
"AEG12",88260.737983941,90572.6526226995,91533.0736657691,90385.8177197227,89175.0725343055,87993.1299449307,84475.845045981,76962.0064357827,68053.1757450734,61122.0184303664,55204.2278327204,49914.9883506689,44995.1109032877,NA,43163.3865696244,47815.2099578719,56423.2680813714,65742.1079467528,72370.982590809,74430.9655649937,74129.4585015028,73745.8766745861,76241.4575049528,82096.7924260763,92310.378321743,100130.581906027,99826.3366426816,95323.092683297,92729.8152934076,92849.8625828091
"AEG13",88720.4626357089,90680.2037586345,91127.202935121,89477.4281166012,86789.6624006906,83350.7224069851,77948.0099075633,70614.8022262765,62990.5409793235,56001.9239218575,50326.6186794328,46810.4484027856,45816.0925538143,NA,46620.180353145,48632.9991648713,50246.4926921776,50455.900534914,49338.0628470414,48492.9731716569,48574.5060022705,49160.4154579115,53612.5500564109,62516.4432178677,74713.9005218053,84100.0944496023,88734.5411677327,90211.6390610854,90028.871435202,89003.6422343393
"AEG14",93928.9151728981,95458.6386828481,96197.1982206222,95634.1368538098,94265.6880564549,91918.3215407906,87778.3106335595,81209.1909352152,73511.4342221003,65592.8287478971,57573.9869995645,50401.1404362372,45572.4926743841,NA,44525.252960389,48639.3606139605,55647.7348469235,62067.7930562284,64919.2252668122,66030.8075216902,68859.3996173176,74123.967278973,79200.2679517827,82625.1233900595,84464.2369402875,84827.9327954145,84859.7491014171,85491.2441923819,86964.9340226834,88668.280073115
"AEG15",83526.5789845847,88941.9314269415,92367.902620593,92318.1149012322,89375.8539334876,85650.7558556409,81028.7179482536,74451.1722492745,66696.3931579665,60745.239082572,57356.8326181669,55853.255330539,56514.6840038161,NA,57067.3675032482,55336.1412363334,52813.3595686399,53094.3158032577,56485.5974238976,60774.4324525627,65108.5993052397,69216.1195270641,72354.9565529592,73861.0439546815,74721.2003981256,75581.5545787064,76537.6571335379,77591.7972448399,79315.0862546049,81513.4057517456
"AEG16",99554.9857211494,102996.174958732,107322.121602559,110016.603921068,108167.67085285,101687.244225906,90477.9524727194,75686.5977357549,63045.4131455132,56937.0866646577,56756.3693174143,58465.3653956165,58673.8047205108,NA,57458.3841527491,55560.5382772196,51728.5222453136,47592.8254172673,45591.0875947745,47637.0107960302,53895.9096075531,64518.5656292567,75565.7989806506,82137.4008583506,83578.965639005,82665.8260219666,81491.2690048628,79508.9511949681,76652.8292463717,74051.787920017
"AEG17",83651.9777227829,86069.4713112363,88875.1748460685,91969.0043790572,93900.3196932899,93155.2567581831,88581.1385162373,79798.0037798166,68183.8971172947,57502.3455939602,50756.8988446098,49457.5785037251,52691.1996970245,NA,58085.9449854226,63473.5343385519,67285.8405657749,69870.1145239595,72082.9556849155,73927.3104548773,74873.3376806296,75234.7727121811,76449.0527099566,79017.3747056335,81874.7371910295,82231.9452120061,80136.2943146813,77404.3286022214,76199.1173319842,76932.4647411788
"AEG18",100945.63598471,102082.232386464,102978.129246301,101902.716419762,97626.5432902677,91593.6594543355,84188.1952526183,75223.6419803326,66238.96827696,58956.4181055852,54894.5855842442,55277.8078479471,59816.7956490933,NA,65460.0955018606,67243.4392520206,64735.3973459287,60803.6581312818,59003.1758761809,61149.3679538085,66067.7601575839,70325.2692299964,73040.2663838024,75692.7202308511,79399.7365535585,82606.6689105723,85561.3967299075,86525.7297615287,84818.7636792414,82439.6459136863
